"RowNumber","CustomerId","ProfitScore","Exited","Age","Cumamountpaidout","Numofinsurances","EstimatedSalary","Geography","IsActiveMember"
332,15601274,667,0,40,146502.07,1,19162.89,"Spain",0
333,15702669,663,0,44,117028.6,2,144680.18,"Germany",1
334,15728669,584,1,30,112013.81,1,177772.03,"Germany",0
335,15742668,626,0,37,108269.37,1,5597.94,"Spain",0
336,15697441,485,1,29,182123.79,1,116828.51,"France",0
337,15740476,659,0,32,150923.74,2,174652.51,"Germany",1
338,15648064,649,0,33,0,2,2010.98,"France",0
339,15636624,805,1,39,165272.13,1,14109.85,"Spain",0
340,15807923,716,1,39,115301.31,1,43527.4,"Germany",0
341,15745844,642,1,40,129502.49,2,86099.23,"Germany",1
342,15786170,659,0,31,118342.26,1,161574.19,"France",0
343,15681081,545,0,47,0,2,38970.14,"Spain",1
344,15684484,543,0,22,0,2,127587.22,"France",0
345,15785869,718,0,25,0,2,30380.12,"France",0
346,15763859,840,0,43,0,2,90908.95,"France",0
347,15658935,630,0,34,106937.05,2,138275.01,"Germany",0
348,15747358,643,0,59,170331.37,1,32171.79,"Germany",1
349,15735203,654,0,32,114510.85,1,126143.23,"Germany",1
350,15576256,582,0,39,0,2,129892.93,"France",1
351,15659420,659,0,32,107594.11,2,102416.84,"Spain",1
352,15593365,762,0,39,81273.13,1,18719.67,"Spain",1
353,15777352,568,0,32,169399.6,1,61936.22,"Spain",0
354,15812007,670,0,25,0,2,78358.94,"Spain",1
355,15625461,613,0,45,187841.99,2,147224.27,"France",1
356,15739438,539,0,30,0,2,160979.66,"France",0
357,15611759,850,0,57,126776.3,2,132298.49,"Spain",1
358,15661629,522,1,34,126436.29,1,174248.52,"Spain",0
359,15633950,737,0,41,101960.74,1,123547.28,"France",1
360,15592386,520,0,58,0,2,32790.02,"France",1
361,15803716,706,0,28,0,2,181543.67,"Spain",1
362,15696674,643,1,45,150842.93,1,2319.96,"Germany",1
363,15706365,648,0,50,102535.57,1,189543.19,"France",1
364,15745088,443,0,29,99027.61,2,10940.4,"Germany",0
365,15676715,640,0,68,0,2,199493.38,"France",1
366,15613085,628,0,33,0,1,188193.25,"Spain",1
367,15633537,540,0,42,87271.41,2,172572.64,"Germany",0
368,15594720,460,0,35,102742.91,2,189339.6,"Germany",1
369,15684042,636,0,34,40105.51,2,53512.16,"Germany",1
370,15583303,593,0,29,152265.43,1,34004.44,"France",0
371,15611579,801,0,42,141947.67,1,10598.29,"Spain",1
372,15774696,640,0,75,106307.91,2,113428.77,"Germany",1
373,15694506,611,0,31,107884.81,2,183487.98,"Germany",1
374,15688074,802,0,31,125013.72,1,187658.09,"Germany",1
375,15759537,717,0,35,58469.37,2,172459.39,"Germany",1
376,15758449,769,0,39,0,1,21016,"France",1
377,15583456,745,1,45,117231.63,3,122381.02,"Germany",1
378,15667871,572,0,35,152390.26,1,128123.66,"Spain",0
379,15677371,629,0,30,34013.63,1,19570.63,"Spain",0
380,15629677,687,1,39,0,3,188150.6,"Spain",0
381,15713578,483,0,50,0,2,111020.24,"France",1
382,15591509,690,0,36,101583.11,2,123775.15,"France",0
383,15568240,492,0,30,77168.87,2,146700.22,"Germany",1
384,15622993,709,0,28,124695.72,2,145251.35,"Germany",0
385,15689294,705,0,44,105934.96,1,82463.69,"Germany",0
386,15720910,560,0,66,0,1,15928.49,"France",1
387,15721181,611,0,46,0,2,45886.33,"Spain",0
388,15776433,730,0,62,0,2,186489.95,"Spain",1
389,15748936,709,0,45,0,2,162922.65,"Spain",1
390,15717225,544,0,21,161525.96,2,9262.77,"France",0
391,15685226,712,0,29,147199.07,1,84932.4,"Germany",1
392,15785611,752,0,38,183102.29,1,71557.12,"Germany",1
393,15573456,648,1,46,127209,2,77405.95,"Spain",0
394,15684548,556,1,38,0,2,417.41,"Spain",0
395,15620505,594,0,24,97378.54,1,71405.17,"Spain",1
396,15807432,645,0,37,136925.09,2,153400.24,"Germany",1
397,15584766,557,0,33,54503.55,1,371.05,"France",1
398,15612187,547,0,32,155726.85,1,67789.99,"Germany",0
399,15762218,701,0,39,0,2,145894.9,"France",1
400,15646372,616,1,66,135842.41,1,183840.51,"France",0
401,15690452,605,0,52,63349.75,1,108887.44,"France",0
402,15747795,593,0,38,129499.42,1,154071.27,"Germany",1
403,15781589,751,0,52,0,2,179291.85,"Spain",1
404,15732674,443,0,36,70438.01,2,56937.43,"Spain",1
405,15642291,685,0,23,0,2,112239.03,"France",1
406,15692761,718,0,36,0,1,45909.87,"France",0
407,15578045,538,1,49,141434.04,1,173779.25,"Spain",0
408,15745354,611,0,37,0,2,125696.26,"Spain",0
409,15701376,668,0,37,152958.29,2,159585.61,"Germany",1
410,15691625,537,0,41,138306.34,1,106761.47,"Germany",0
411,15566594,709,0,23,0,2,129590.18,"Spain",0
412,15760431,850,0,38,0,2,80006.65,"France",1
413,15686302,745,0,31,124328.84,1,140451.52,"Spain",1
414,15801559,693,1,41,181461.48,3,187929.43,"Germany",1
415,15810432,795,0,35,0,2,167155.36,"Spain",0
416,15809616,626,0,26,0,2,191420.71,"Spain",0
417,15720559,487,1,61,110368.03,1,11384.45,"Germany",0
418,15695632,556,0,39,89588.35,1,94898.1,"France",1
419,15659843,643,0,46,0,2,106781.59,"France",0
420,15615624,605,0,28,0,2,159508.52,"France",0
421,15810418,756,1,60,115924.89,1,93524.19,"Germany",0
422,15716186,586,0,38,0,2,87168.46,"France",0
423,15674551,535,1,40,111756.5,1,8128.32,"Germany",0
424,15622834,678,0,35,0,1,125518.32,"France",0
425,15566111,596,0,39,0,1,48963.59,"France",0
426,15784597,648,0,26,162923.85,1,98368.24,"France",0
427,15652883,492,0,39,124576.65,2,148584.61,"Germany",0
428,15806964,702,0,45,80793.58,1,27474.81,"France",1
429,15576313,486,0,40,71340.09,1,76192.21,"Germany",0
430,15806467,568,1,40,99282.63,1,134600.94,"Germany",0
431,15597602,619,1,57,137946.39,1,72467.99,"Germany",1
432,15743040,724,0,41,127892.57,2,199645.45,"Germany",1
433,15705521,548,0,33,101084.36,1,42749.85,"Germany",0
434,15595039,545,1,37,114754.08,1,136050.44,"Germany",0
435,15799384,683,0,33,0,1,73564.44,"France",0
436,15581197,762,0,51,99286.98,1,85578.63,"France",1
437,15693737,627,0,30,79871.02,2,129826.89,"Germany",0
438,15624623,516,0,35,104088.59,2,119666,"France",0
439,15783501,800,0,38,168190.33,2,68052.08,"France",0
440,15690134,464,0,42,85679.25,1,164104.74,"Germany",1
441,15782735,626,0,35,0,1,80190.36,"France",0
442,15611088,790,0,31,0,2,84126.75,"France",0
443,15672145,534,0,34,121551.58,2,70179,"France",1
444,15732628,745,0,46,122220.19,1,118024.1,"France",1
445,15787470,553,1,47,116528.15,1,145704.19,"Spain",0
446,15803406,748,0,26,77780.29,1,183049.41,"France",1
447,15730460,722,0,37,0,1,120906.83,"France",0
448,15644572,501,0,40,125832.2,1,100433.83,"France",1
449,15694860,675,1,38,68065.8,1,138777,"France",0
450,15658169,778,0,47,127299.34,2,124694.99,"Spain",0
451,15794396,494,0,38,174937.64,1,40084.32,"Germany",0
452,15785798,850,0,40,0,2,119232.33,"France",1
453,15710825,592,0,31,110071.1,1,43921.36,"Spain",0
454,15668444,590,0,44,139432.37,1,62222.81,"Spain",0
455,15726631,758,0,39,127357.76,1,56577,"France",1
456,15733797,506,0,36,0,2,164253.35,"France",0
457,15747960,733,0,33,0,1,7666.73,"France",1
458,15634632,711,0,38,0,2,68487.51,"France",0
459,15707362,514,1,43,95556.31,1,199273.98,"Germany",1
460,15662976,637,0,37,0,1,186062.36,"Spain",1
461,15732778,468,0,29,111681.98,2,195711.16,"Germany",1
462,15718443,539,0,39,0,2,36692.17,"France",0
463,15670039,509,0,25,108738.71,2,106920.57,"Spain",0
464,15773792,662,1,32,133950.37,1,48725.68,"France",1
465,15613786,818,0,26,0,2,167036.94,"Spain",1
466,15726032,608,0,33,89968.69,1,68777.26,"France",0
467,15663252,850,0,32,0,2,18924.92,"Spain",1
468,15593782,816,1,38,130878.75,3,71905.77,"Germany",0
469,15633283,536,0,35,0,2,64833.28,"France",0
470,15749167,753,0,35,0,2,184843.77,"France",1
471,15759298,631,0,27,134169.62,1,176730.02,"Spain",1
472,15683625,703,1,37,149762.08,1,20629.4,"France",0
473,15635367,774,0,26,93844.69,1,28415.36,"France",0
474,15681705,785,0,28,0,2,77231.27,"France",0
475,15603156,571,0,33,0,2,102750.7,"France",0
476,15591986,621,1,46,141078.37,1,34580.8,"Germany",0
477,15798888,605,0,31,117992.59,1,183598.77,"Germany",1
478,15809722,611,0,40,100812.33,2,147358.27,"France",0
479,15677538,569,0,38,0,1,108469.2,"France",1
